ID	description
32.3	Business > Food_and_Related_Products > Produce
32.4	Business > Food_and_Related_Products > Baked_Goods
32.5	Business > Food_and_Related_Products > Dairy
32.6	Business > Food_and_Related_Products > Condiments_and_Seasonings
32.7	Business > Food_and_Related_Products > Tools_and_Equipment
32.8	Business > Food_and_Related_Products > Grains_and_Legumes
32.9	Business > Food_and_Related_Products > Sweeteners
32.10	Business > Food_and_Related_Products > Additives
33.1	Business > Healthcare > Products_and_Services
33.2	Business > Healthcare > Computing
33.3	Business > Healthcare > Consulting
33.4	Business > Healthcare > Employment
33.5	Business > Healthcare > Marketing_and_Advertising
33.6	Business > Healthcare > Animal_Health
33.7	Business > Healthcare > Healthcare_Management
33.8	Business > Healthcare > Alternative
33.9	Business > Healthcare > Case_Management
33.10	Business > Healthcare > News_and_Media
34.1	Business > Hospitality > Food_Service
34.2	Business > Hospitality > Restaurant_Chains
34.3	Business > Hospitality > Software
34.4	Business > Hospitality > Travel
34.5	Business > Hospitality > Education_and_Training
34.6	Business > Hospitality > Employment
34.7	Business > Hospitality > Supplies_and_Equipment
34.8	Business > Hospitality > Consulting
34.9	Business > Hospitality > Directories
34.10	Business > Hospitality > Hotels_and_Motels
35.1	Business > Human_Resources > Compensation_and_Benefits
35.2	Business > Human_Resources > Consulting
35.3	Business > Human_Resources > Training_and_Safety
35.4	Business > Human_Resources > Employee_Relations
35.5	Business > Human_Resources > Associations
35.6	Business > Human_Resources > Reference
35.7	Business > Human_Resources > Education_and_Training
35.8	Business > Human_Resources > Recruiting_and_Retention
35.9	Business > Human_Resources > Outsourcing
35.10	Business > Human_Resources > Outplacement
36.1	Business > Industrial_Goods_and_Services > Machinery_and_Tools
36.2	Business > Industrial_Goods_and_Services > Industrial_Supply
36.3	Business > Industrial_Goods_and_Services > Casting,_Molding,_Machining
36.4	Business > Industrial_Goods_and_Services > Fluid_Handling
36.5	Business > Industrial_Goods_and_Services > Engineering
36.6	Business > Industrial_Goods_and_Services > Packaging
36.7	Business > Industrial_Goods_and_Services > Calibration_and_Testing
36.8	Business > Industrial_Goods_and_Services > Factory_Automation
36.9	Business > Industrial_Goods_and_Services > Cable_and_Wire
36.10	Business > Industrial_Goods_and_Services > Optics
37.1	Business > Information_Technology > Employment
37.2	Business > Information_Technology > Consulting
37.3	Business > Information_Technology > News_and_Media
37.4	Business > Information_Technology > Marketing_and_Advertising
37.5	Business > Information_Technology > Imaging
37.6	Business > Information_Technology > Associations
37.7	Business > Information_Technology > Outsourcing
37.8	Business > Information_Technology > Services
37.9	Business > Information_Technology > Directories
37.10	Business > Information_Technology > Conferences
38.1	Business > Investing > Stocks_and_Bonds
38.2	Business > Investing > Commodities_and_Futures
38.3	Business > Investing > Money_Managers
38.4	Business > Investing > Funds
38.5	Business > Investing > Research_and_Analysis
38.6	Business > Investing > Socially_Responsible
38.7	Business > Investing > Real_Estate
38.8	Business > Investing > Software
38.9	Business > Investing > Brokerages
38.10	Business > Investing > Day_Trading
39.1	Business > Management > Consulting
39.2	Business > Management > Management_Science
39.3	Business > Management > Education_and_Training
39.4	Business > Management > Project_and_Program_Management
39.5	Business > Management > Leadership
39.6	Business > Management > Organizational_Development
39.7	Business > Management > Software
39.8	Business > Management > Supply_Chain
39.9	Business > Management > Ethics
39.10	Business > Management > Organizational_Change
40.1	Business > Marketing_and_Advertising > Advertising
40.2	Business > Marketing_and_Advertising > Public_Relations
40.3	Business > Marketing_and_Advertising > Internet_Marketing
40.4	Business > Marketing_and_Advertising > Branding
40.5	Business > Marketing_and_Advertising > Consulting
40.6	Business > Marketing_and_Advertising > Market_Research
40.7	Business > Marketing_and_Advertising > Direct_Marketing
40.8	Business > Marketing_and_Advertising > Marketing_Support_Services
40.9	Business > Marketing_and_Advertising > Salesmanship
40.10	Business > Marketing_and_Advertising > Strategic
41.1	Business > Materials > Metals
41.2	Business > Materials > Pulp_and_Paper
41.3	Business > Materials > Composites
41.4	Business > Materials > Nanomaterials
41.5	Business > Materials > Abrasives
41.6	Business > Materials > Ceramics
41.7	Business > Materials > Carbon
41.8	Business > Materials > Wax
41.9	Business > Materials > Crystal_and_Glass
41.10	Business > Materials > Animal_Products
42.1	Business > Opportunities > Franchising
42.2	Business > Opportunities > Vending
42.3	Business > Opportunities > Networking-MLM
42.4	Business > Opportunities > Inventions
42.5	Business > Opportunities > Valuation_Services
42.6	Business > Opportunities > Home_Based
42.7	Business > Opportunities > Brokerages
42.8	Business > Opportunities > Opposing_Views
42.9	Business > Opportunities > Resources_and_Networking
42.10	Business > Opportunities > Consulting
43.1	Business > Real_Estate > Appraisal
43.2	Business > Real_Estate > Education_and_Training
43.3	Business > Real_Estate > Commercial
43.4	Business > Real_Estate > Residential
43.5	Business > Real_Estate > Marketing_and_Advertising
43.6	Business > Real_Estate > Legal
43.7	Business > Real_Estate > Development
43.8	Business > Real_Estate > Consulting
43.9	Business > Real_Estate > Property_Management
43.10	Business > Real_Estate > Employment
44.1	Business > Retail_Trade > Store_Fixtures
44.2	Business > Retail_Trade > Technology
44.3	Business > Retail_Trade > Retailers
44.4	Business > Retail_Trade > Consulting
44.5	Business > Retail_Trade > Services
44.6	Business > Retail_Trade > Loss_Prevention
44.7	Business > Retail_Trade > Associations
44.8	Business > Retail_Trade > News_and_Media
44.9	Business > Retail_Trade > Marketing_and_Advertising
44.10	Business > Retail_Trade > Employment
45.1	Business > Small_Business > Start_Up
45.2	Business > Small_Business > Finance
45.3	Business > Small_Business > Resources
45.4	Business > Small_Business > Business_Plans
45.5	Business > Small_Business > Marketing_and_Advertising
45.6	Business > Small_Business > News_and_Media
45.7	Business > Small_Business > Home_Office
45.8	Business > Small_Business > Consulting
45.9	Business > Small_Business > Associations
45.10	Business > Small_Business > Directories
46.1	Business > Telecommunications > Equipment
46.2	Business > Telecommunications > Services
46.3	Business > Telecommunications > Two-Way_Radio
46.4	Business > Telecommunications > Call_Centers
46.5	Business > Telecommunications > Consulting
46.6	Business > Telecommunications > Location_and_Tracking
46.7	Business > Telecommunications > Construction,_Installation,_and_Maintenance
46.8	Business > Telecommunications > Carriers
46.9	Business > Telecommunications > Software
46.10	Business > Telecommunications > Regulation
47.1	Business > Textiles_and_Nonwovens > Textiles
47.2	Business > Textiles_and_Nonwovens > Industrial_Yarns_and_Sewing_Threads
47.3	Business > Textiles_and_Nonwovens > Fibers
47.4	Business > Textiles_and_Nonwovens > Nonwovens
47.5	Business > Textiles_and_Nonwovens > Machinery_and_Equipment
47.6	Business > Textiles_and_Nonwovens > Leather_and_Fur
47.7	Business > Textiles_and_Nonwovens > Dyestuffs_and_Chemicals
47.8	Business > Textiles_and_Nonwovens > Resources
47.9	Business > Textiles_and_Nonwovens > Geotechnical
47.10	Business > Textiles_and_Nonwovens > Education_and_Training
48.1	Business > Transportation_and_Logistics > Aviation
48.2	Business > Transportation_and_Logistics > Maritime
48.3	Business > Transportation_and_Logistics > Trucking
48.4	Business > Transportation_and_Logistics > Distribution_and_Logistics
48.5	Business > Transportation_and_Logistics > Rail
48.6	Business > Transportation_and_Logistics > Freight_Forwarding
48.7	Business > Transportation_and_Logistics > Urban_Transport
48.8	Business > Transportation_and_Logistics > Bus
48.9	Business > Transportation_and_Logistics > Towing_and_Recovery
48.10	Business > Transportation_and_Logistics > Moving_Services
49.1	Computers > Algorithms > Compression
49.2	Computers > Algorithms > Computational_Algebra
49.3	Computers > Algorithms > Conferences
49.4	Computers > Algorithms > Sorting_and_Searching
49.5	Computers > Algorithms > Publications
49.6	Computers > Algorithms > Pseudorandom_Numbers
49.7	Computers > Algorithms > People
49.8	Computers > Algorithms > Research_Groups
49.9	Computers > Algorithms > Animated
50.1	Computers > Artificial_Intelligence > Neural_Networks
50.2	Computers > Artificial_Intelligence > Machine_Learning
50.3	Computers > Artificial_Intelligence > People
50.4	Computers > Artificial_Intelligence > Natural_Language
50.5	Computers > Artificial_Intelligence > Conferences_and_Events
50.6	Computers > Artificial_Intelligence > Genetic_Programming
50.7	Computers > Artificial_Intelligence > Vision
50.8	Computers > Artificial_Intelligence > Agents
50.9	Computers > Artificial_Intelligence > Academic_Departments
50.10	Computers > Artificial_Intelligence > Belief_Networks
51.1	Computers > Artificial_Life > Cellular_Automata
51.2	Computers > Artificial_Life > Particle_Swarm
51.3	Computers > Artificial_Life > Lindenmayer_Systems
51.4	Computers > Artificial_Life > Software
51.5	Computers > Artificial_Life > Agents
51.6	Computers > Artificial_Life > Artificial_Worlds
51.7	Computers > Artificial_Life > Conferences
51.8	Computers > Artificial_Life > People
51.9	Computers > Artificial_Life > Publications
51.10	Computers > Artificial_Life > Art
52.1	Computers > CAD_and_CAM > AutoCAD
52.2	Computers > CAD_and_CAM > Computer_Aided_Manufacturing
52.3	Computers > CAD_and_CAM > AEC_Design
52.4	Computers > CAD_and_CAM > Electronic_Design_Automation
52.5	Computers > CAD_and_CAM > Product_Data_Management
52.6	Computers > CAD_and_CAM > PTC_Pro_Engineer
52.7	Computers > CAD_and_CAM > Drawing_Exchange_and_Interoperability
52.8	Computers > CAD_and_CAM > Mechanical_Design
52.9	Computers > CAD_and_CAM > Viewers
52.10	Computers > CAD_and_CAM > Development
53.1	Computers > Companies > Software_Development
53.2	Computers > Companies > Product_Support
53.3	Computers > Companies > Google,_Inc.
53.4	Computers > Companies > Data_Warehousing
53.5	Computers > Companies > Microsoft_Corporation
53.6	Computers > Companies > Yahoo_Inc.
53.7	Computers > Companies > Oracle_Corporation
53.8	Computers > Companies > IBM
53.9	Computers > Companies > Render_Farms
53.10	Computers > Companies > AOL_LLC
54.1	Computers > Computer_Science > Academic_Departments
54.2	Computers > Computer_Science > Theoretical
54.3	Computers > Computer_Science > People
54.4	Computers > Computer_Science > Distributed_Computing
54.5	Computers > Computer_Science > Conferences
54.6	Computers > Computer_Science > Database_Theory
54.7	Computers > Computer_Science > Publications
54.8	Computers > Computer_Science > Research_Institutes
54.9	Computers > Computer_Science > Organizations
54.10	Computers > Computer_Science > Computer_Graphics
55.1	Computers > Consultants > By_Region
55.2	Computers > Consultants > Systems_Integrators
55.3	Computers > Consultants > Business_Systems
55.4	Computers > Consultants > Databases
55.5	Computers > Consultants > Unix_Systems
55.6	Computers > Consultants > Network
55.7	Computers > Consultants > General_and_Freelance
55.8	Computers > Consultants > CAD_Systems
55.9	Computers > Consultants > Embedded_Systems
55.10	Computers > Consultants > Macintosh_Systems
56.1	Computers > Data_Communications > Vendors
56.2	Computers > Data_Communications > Wireless
56.3	Computers > Data_Communications > Telephony
56.4	Computers > Data_Communications > Ethernet
56.5	Computers > Data_Communications > Installation
56.6	Computers > Data_Communications > Unified_Messaging
56.7	Computers > Data_Communications > Testing_and_Tools
56.8	Computers > Data_Communications > Reference
56.9	Computers > Data_Communications > Software
56.10	Computers > Data_Communications > DSL
57.1	Computers > Data_Formats > Markup_Languages
57.2	Computers > Data_Formats > Document
57.3	Computers > Data_Formats > Style_Sheets
57.4	Computers > Data_Formats > Graphics
57.5	Computers > Data_Formats > Conversion
57.6	Computers > Data_Formats > File_Systems
57.7	Computers > Data_Formats > Open_Standards
57.8	Computers > Data_Formats > Archive
57.9	Computers > Data_Formats > Microformats
57.10	Computers > Data_Formats > Help
58.1	Computers > Emulators > Intel_x86_Architecture
58.2	Computers > Emulators > Sinclair
58.3	Computers > Emulators > Apple
58.4	Computers > Emulators > Acorn
58.5	Computers > Emulators > Commodore
58.6	Computers > Emulators > Atari
58.7	Computers > Emulators > Amstrad
58.8	Computers > Emulators > Amiga
58.9	Computers > Emulators > MSX
58.10	Computers > Emulators > News_and_Media
59.1	Computers > Graphics > Web
59.2	Computers > Graphics > Fonts
59.3	Computers > Graphics > Clip_Art
59.4	Computers > Graphics > Textures
59.5	Computers > Graphics > Animation
59.6	Computers > Graphics > Books
60.1	Computers > Hacking > Phreaking
60.2	Computers > Hacking > Cryptography
60.3	Computers > Hacking > Organizations
60.4	Computers > Hacking > Wardriving
60.5	Computers > Hacking > News_and_Media
60.6	Computers > Hacking > Exploits
60.7	Computers > Hacking > People
60.8	Computers > Hacking > Hardware
60.9	Computers > Hacking > Malicious_Software
60.10	Computers > Hacking > Software_Piracy
61.1	Computers > Hardware > Peripherals
61.2	Computers > Hardware > Systems
61.3	Computers > Hardware > Components
61.4	Computers > Hardware > Storage
61.5	Computers > Hardware > Retailers
61.6	Computers > Hardware > Used
61.7	Computers > Hardware > Cables
61.8	Computers > Hardware > Embedded
61.9	Computers > Hardware > Buses
61.10	Computers > Hardware > Historical
62.1	Computers > Internet > Web_Design_and_Development
62.2	Computers > Internet > RFCs
62.3	Computers > Internet > On_the_Web
62.4	Computers > Internet > E-mail
62.5	Computers > Internet > Searching
62.6	Computers > Internet > Domain_Names
62.7	Computers > Internet > Protocols
62.8	Computers > Internet > Chat
62.9	Computers > Internet > Access_Providers
62.10	Computers > Internet > Cybercafes
63.1	Computers > Mobile_Computing > Wireless_Data
63.2	Computers > Mobile_Computing > Symbian
63.3	Computers > Mobile_Computing > Rugged_Hardware
63.4	Computers > Mobile_Computing > News_and_Media
63.5	Computers > Mobile_Computing > Application_Developers
63.6	Computers > Mobile_Computing > Research
64.1	Computers > Multimedia > Music_and_Audio
64.2	Computers > Multimedia > Services
64.3	Computers > Multimedia > Development_Frameworks
64.4	Computers > Multimedia > Software
64.5	Computers > Multimedia > Digital_Video
64.6	Computers > Multimedia > Demoscene
64.7	Computers > Multimedia > MPEG
64.8	Computers > Multimedia > FAQs,_Help,_and_Tutorials
64.9	Computers > Multimedia > News_and_Media
65.1	Computers > Open_Source > Software
65.2	Computers > Open_Source > Open_Content
65.3	Computers > Open_Source > Organizations
65.4	Computers > Open_Source > Licenses
65.5	Computers > Open_Source > Advocacy
65.6	Computers > Open_Source > Articles
65.7	Computers > Open_Source > News_and_Media
65.8	Computers > Open_Source > Directories
65.9	Computers > Open_Source > Project_Hosting
65.10	Computers > Open_Source > Conferences
66.1	Computers > Parallel_Computing > Conferences
66.2	Computers > Parallel_Computing > Programming
66.3	Computers > Parallel_Computing > Beowulf
66.4	Computers > Parallel_Computing > Projects
66.5	Computers > Parallel_Computing > Vendors
66.6	Computers > Parallel_Computing > Documentation
67.1	Computers > Programming > Languages
67.2	Computers > Programming > Internet
67.3	Computers > Programming > Component_Frameworks
67.4	Computers > Programming > Methodologies
67.5	Computers > Programming > Personal_Pages
67.6	Computers > Programming > Graphics
67.7	Computers > Programming > Software_Testing
67.8	Computers > Programming > Development_Tools
67.9	Computers > Programming > Compilers
67.10	Computers > Programming > Games
68.1	Computers > Robotics > Companies
68.2	Computers > Robotics > Competitions
68.3	Computers > Robotics > Research
68.4	Computers > Robotics > Personal_Pages
68.5	Computers > Robotics > Robots
68.6	Computers > Robotics > Software
68.7	Computers > Robotics > Organizations
68.8	Computers > Robotics > Building
68.9	Computers > Robotics > History
68.10	Computers > Robotics > Directories
69.1	Computers > Security > Products_and_Tools
69.2	Computers > Security > Consultants
69.3	Computers > Security > Internet
69.4	Computers > Security > Malicious_Software
69.5	Computers > Security > Firewalls
69.6	Computers > Security > Biometrics
69.7	Computers > Security > Policy
69.8	Computers > Security > Intrusion_Detection_Systems
69.9	Computers > Security > Public_Key_Infrastructure
69.10	Computers > Security > Authentication
70.1	Computers > Software > Operating_Systems
70.2	Computers > Software > Internet
70.3	Computers > Software > Shareware
70.4	Computers > Software > Databases
70.5	Computers > Software > Graphics
70.6	Computers > Software > Accounting
70.7	Computers > Software > Desktop_Customization
